
sk;tp;m_r;b_a_s;ra_r;ra_m;ca_r;ca_m;pa_r;pa_m;d;s_d;e_r
10;none;36;52;4;181;8;211;26;240;170;42;125
10;i;36;52;4;181;8;211;26;240;170;42;125
10;a;36;46;5;200;8;229;39;259;170;20;125
10;h;36;46;4;199;8;229;35;258;170;25;125
10;t_a;36;46;5;200;8;229;39;259;170;20;125
10;t_a_nv;36;52;5;185;8;215;39;245;170;20;125
10;t_a_nw;36;46;5;200;8;229;39;259;170;20;125
10;t_a_nv_nw;36;52;5;185;8;215;39;245;170;20;125
10;t_h;36;46;4;199;8;229;35;258;170;25;125
10;t_h_nv;36;52;4;184;8;214;35;244;170;25;125
10;t_h_nw;36;46;4;199;8;229;35;258;170;25;125
10;t_h_nw_nv;36;52;4;184;8;214;35;244;170;25;125
10;t_i;36;52;4;181;8;211;26;240;170;42;125
10;t_i_nv;36;52;4;181;8;211;26;240;170;42;125
10;t_i_nw;36;52;4;181;8;211;26;240;170;42;125
10;t_i_nw_nv;36;52;4;181;8;211;26;240;170;42;125

0;none;36;52;3;181;5;211;12;240;170;42;125
0;i;36;52;3;181;5;211;12;240;170;42;125
0;a;36;46;4;200;6;229;14;259;170;20;125
0;h;36;46;4;199;6;229;13;258;170;25;125
0;t_a;36;46;4;200;6;229;14;259;170;20;125
0;t_a_nv;36;52;4;185;6;215;14;245;170;20;125
0;t_a_nw;36;46;4;200;6;229;14;259;170;20;125
0;t_a_nv_nw;36;52;4;185;6;215;14;245;170;20;125
0;t_h;36;46;4;199;6;229;13;258;170;25;125
0;t_h_nv;36;52;4;184;6;214;13;244;170;25;125
0;t_h_nw;36;46;4;199;6;229;13;258;170;25;125
0;t_h_nw_nv;36;52;4;184;6;214;13;244;170;25;125
0;t_i;36;52;3;181;5;211;12;240;170;42;125
0;t_i_nv;36;52;3;181;5;211;12;240;170;42;125
0;t_i_nw;36;52;3;181;5;211;12;240;170;42;125
0;t_i_nw_nv;36;52;3;181;5;211;12;240;170;42;125
